Abdul Amir Amiro,IND,0,5th Pass,44,4122551,0,Chandni Chowk
Ajay Kumar Khemka,Kalyankari Jantantrik Party,0,Graduate,41,4724526,625000,Chandni Chowk
Altaf Husain,Bhartiya Janta Dal (Integrated),0,12th Pass,40,4790000,0,Chandni Chowk
Ashutosh,AAP,3,Post Graduate,48,81121758,11140787,Chandni Chowk
Ashutosh Mudgil,IND,0,8th Pass,38,453921,0,Chandni Chowk
Balram Bari,IND,0,8th Pass,47,2980000,0,Chandni Chowk
Bir Singh Soni,IND,0,12th Pass,46,1030100,0,Chandni Chowk
Dhan Raj Chauhan,Naya Daur Party,0,8th Pass,53,370000,0,Chandni Chowk
Dildar Hussain Beg,IND,0,12th Pass,44,946408,0,Chandni Chowk
Dr. Harsh Vardhan,BJP,2,Post Graduate,59,28229308,1780492,Chandni Chowk
Dr. Tarun Kumar,Vishva Shakti Party,0,Graduate Professional,33,5518804,2334044,Chandni Chowk
Gagan Rastogi,IND,0,Graduate,30,53919,0,Chandni Chowk
Hariom Sharma,AITC,0,10th Pass,49,23010474,3391550,Chandni Chowk
Jag Mohan Singh Bakshi,Atulya Bharat Party,0,12th Pass,54,60404560,4500000,Chandni Chowk
Jagjeet Singh,Bharatiya Gaon Taj Dal,0,10th Pass,0,353200,0,Chandni Chowk
Kapil Sibal,INC,0,Graduate Professional,65,1144747216,0,Chandni Chowk
Md Afaq,Jai Maha Bharath Party,0,5th Pass,49,4374000,0,Chandni Chowk
Mohd Mursaleem,PECP,0,12th Pass,39,470700,0,Chandni Chowk
Musarrat Jahan,Rashtriya Janmorcha,0,Graduate,49,3119753,0,Chandni Chowk
Narendra Kr Pandey,BSP,0,12th Pass,48,48980150,3166282,Chandni Chowk
Rashmi Kashyap,Bhartiya Pragatisheel Congress,0,10th Pass,55,3123000,0,Chandni Chowk
Sanjay Gandhi,Braj Vikas Party,0,12th Pass,0,151747504,0,Chandni Chowk
Surender Singh,IND,0,Graduate,42,7902603,0,Chandni Chowk
Tariq Mirza,RPI(A),0,8th Pass,29,110000,0,Chandni Chowk
Vijay Shankar Chaubey,IND,0,12th Pass,42,2105641,0,Chandni Chowk
Arun Thakur,Samyak Parivartan Party,0,12th Pass,39,1081500,0,East Delhi
Deepak Kumar,IND,0,12th Pass,31,236200,0,East Delhi
Dr. Nabhit Kapur,Naya Daur Party,0,Doctorate,26,150000,0,East Delhi
Jagannath Tiwari,IND,0,12th Pass,39,1476456,43236,East Delhi
Jai Ram Lal,JKNPP,0,10th Pass,79,4827000,15000,East Delhi
Kumar Vivek Gautam,IND,0,Graduate,32,390500,1900000,East Delhi
Mahesh Giri,BJP,1,10th Pass,39,5216375,400000,East Delhi
Manjeet Singh,IND,0,Graduate Professional,26,143000,60000,East Delhi
Manju Chhibber,RPI(A),0,Graduate,58,31380000,0,East Delhi
Mohammad Shakeel Saifi,BSP,1,Literate,42,29743591,458360,East Delhi
Mohammed Naeem,IND,1,10th Pass,37,2314000,59000,East Delhi
Mohd Naseer,PECP,0,8th Pass,39,4398632,0,East Delhi
Mohd Shahid Siddiqui,AITC,0,12th Pass,51,40044000,2010000,East Delhi
Ompal Singh,Kalyankari Jantantrik Party,0,Graduate,44,9063978,550000,East Delhi
Padam Chand,IND,0,10th Pass,61,2670000,0,East Delhi
Praveen Kumar,Bhartiya Jan Manch,0,8th Pass,33,155178,1700,East Delhi
Prem Singh,Socialist Party (India),0,Doctorate,57,13650000,200000,East Delhi
Rajesh,Ambedkar National Congress,0,Graduate,45,83220,0,East Delhi
Rajmohan Gandhi,AAP,0,Post Graduate,78,48208736,0,East Delhi
Ram Briksh Mall,Hindusthan Nirman Dal,0,Post Graduate,58,18234000,956912,East Delhi
Sandeep Dikshit,INC,0,Post Graduate,49,73671067,8872174,East Delhi
Shakeel Ahmed,Jai Maha Bharath Party,0,12th Pass,32,882000,0,East Delhi
Virendra Mayer,Samajwadi Janata Party (Rashtriya),0,Graduate,60,231000,0,East Delhi
Ajay Makan,INC,1,Post Graduate,50,61098675,500000,New Delhi
Anjuman Agnihotri,IND,0,12th Pass,53,930631,169975,New Delhi
Ashish Khetan,AAP,0,Post Graduate,38,17172618,3005294,New Delhi
Biswajit Ranjit Chatterjee,AITC,0,12th Pass,77,33350000,0,New Delhi
Dalchand,IND,0,8th Pass,52,2970854,300000,New Delhi
Devi Singh,Rashtriya Jankranti Party,0,Post Graduate,33,285000,0,New Delhi
Dheeraj Puri,SHS,0,10th Pass,35,27148834,0,New Delhi
Ghanshyam Dass,IND,0,10th Pass,57,21043000,0,New Delhi
Harkrishan Das Nijhawan,IND,1,12th Pass,50,29194281,572550,New Delhi
K P Sankaran Menon,IND,0,Doctorate,68,182208649,0,New Delhi
Lakshmi Narayan,Bharatiya Bahujan Party,0,8th Pass,46,8202800,0,New Delhi
Lukman Khan,IND,2,5th Pass,52,3786699,0,New Delhi
Meena Singla,Poorvanchal Rashtriya Congress,0,Graduate,44,13840344,517041,New Delhi
Narendra Singh Rawat,IND,0,12th Pass,43,79000,0,New Delhi
Naveen Chandra,Naya Daur Party,0,Graduate,40,4565000,0,New Delhi
Nikhil Sablania,IND,0,Graduate Professional,34,38000,0,New Delhi
Padmaja Kandukuri,IND,0,Not Given,50,2367592,180000,New Delhi
Pradeep Varma,Bharat Vishal Party,0,Graduate Professional,49,4200000,500000,New Delhi
Ramanuj Patel,Samyak Parivartan Party,0,12th Pass,36,100,0,New Delhi
Ratheesh,IND,0,Graduate,26,45200,0,New Delhi
Ravi Kumar Gupta,IND,0,12th Pass,66,17057930,15000,New Delhi
Rubina Khan,IND,0,Graduate,27,602439,0,New Delhi
Smt. Meenakshi Lekhi,BJP,0,Graduate Professional,46,349916470,3275562,New Delhi
Solomon George,BSP,0,Post Graduate,50,1501750,0,New Delhi
Sujeet Jha,Bhartiya Janta Dal (Integrated),0,12th Pass,30,220000,40000,New Delhi
Sunita Chaudhary,JKNPP,0,10th Pass,36,2129016,3180,New Delhi
Swadesh Ohri,Atulya Bharat Party,0,12th Pass,72,25102378,0,New Delhi
Ved Prakash,IND,0,10th Pass,56,10478697,0,New Delhi
Vishal Khosla,IND,0,12th Pass,51,489000,0,New Delhi
A.K. Aggarwal,Agar Jan Party,1,10th Pass,47,14058166,0,North East Delhi
Abdul Sami Salmani,BSP,0,Others,58,4331561,160000,North East Delhi
Ali Husan,IND,0,5th Pass,40,1047500,0,North East Delhi
Amit Kumar Sharma,IND,0,Graduate,38,1710000,0,North East Delhi
Anand Kumar,AAP,0,Doctorate,64,29255377,72369,North East Delhi
Dan Bahadur Yadav,IND,0,Graduate,50,1345000,0,North East Delhi
Dharamveer Singh,Rashtriya Ekta Party,1,10th Pass,50,6497000,0,North East Delhi
Dinesh Pal Singh,IND,0,8th Pass,35,6931000,0,North East Delhi
H.K. Mahendru,IND,0,8th Pass,78,41985,0,North East Delhi
Harsh Kumar,IND,0,Graduate Professional,38,466633,0,North East Delhi
Jai Prakash Agarwal,INC,0,Graduate,69,83974848,0,North East Delhi
Manoj Tiwari,BJP,0,Post Graduate,43,199483924,34645630,North East Delhi
Mohd Arif Siddique,AITC,0,Illiterate,26,330000,0,North East Delhi
Mohd Hasnan Khan,JKNPP,0,5th Pass,33,3700000,0,North East Delhi
Mohd. Hasnain,IND,2,10th Pass,55,30000,0,North East Delhi
Mukesh Kumar Arora,IND,0,Graduate,40,13688864,3970000,North East Delhi
Narendra Sharma,SUCI(C),0,Post Graduate,68,112772737,0,North East Delhi
Om Dutt Sharma,SHS,2,12th Pass,49,197000,0,North East Delhi
Pradesh Kumar,Ambedkar National Congress,0,Post Graduate,31,257000,0,North East Delhi
Rajan Lal,Bharatiya Republican Paksha,0,Graduate Professional,36,11571000,0,North East Delhi
Ramesh Singh Siral,Naya Daur Party,0,8th Pass,40,2490000,0,North East Delhi
Roshan Ali,National Loktantrik Party,0,Not Given,56,3351382,0,North East Delhi
Vinay,Bharatiya Sarvodaya Kranti Party,0,12th Pass,29,4274100,0,North East Delhi
Basant Panwar,BSP,0,8th Pass,46,2162778,27500,North West Delhi
Bhup Singh,IND,0,Graduate Professional,77,61711,0,North West Delhi
Dharamraj,Bhartiya Pragatisheel Congress,0,8th Pass,40,3486700,0,North West Delhi
Inder Singh,Asankhya Samaj Party,0,10th Pass,51,2437000,0,North West Delhi
Jodhraj Paharia,IND,0,Illiterate,65,7221810,0,North West Delhi
Kamini Kaur,IND,0,8th Pass,49,233096000,0,North West Delhi
Krishna Tirath,INC,0,Graduate,58,56882796,0,North West Delhi
Rajesh Kumar,Rashtriya Bahujan Hitay Party,0,10th Pass,41,1141000,0,North West Delhi
Rakhi Birla,AAP,0,Post Graduate,27,163467,230000,North West Delhi
Ram Karan Sauran,IND,0,Graduate,60,11854000,1257000,North West Delhi
Shailender Kumar,IND,0,Graduate,34,620000,10000,North West Delhi
Sunil Chhikara,IND,3,Graduate Professional,42,32150000,0,North West Delhi
Udit Raj,BJP,1,Doctorate,56,44902363,0,North West Delhi
Vijay Kumar,RPI(A),0,Graduate,39,5880000,0,North West Delhi
D K Chopra,IND,1,Graduate,68,7080000,0,South Delhi
Devinder Kumar Sehrawat,AAP,0,Post Graduate,48,23237892,540000,South Delhi
Dushmanta Kumar Giri,IND,1,Doctorate,54,9500000,2720000,South Delhi
Hafiz Mustaq,Jan Samanta Party,0,Illiterate,53,430000,0,South Delhi
Kiran Pal Singh,IND,0,8th Pass,63,630000,0,South Delhi
Mohan Kanuga,JKNPP,0,Post Graduate,66,7839000,0,South Delhi
Naresh Kumar,IND,0,Illiterate,50,143186,0,South Delhi
Ombir,Bharatiya Bahujan Party,0,12th Pass,51,732000,0,South Delhi
Rakesh Kumar,IND,0,10th Pass,42,660800,0,South Delhi
